contig,gene,intron,conf,strand
157,879.475409836,150.655737705,97.1109836066,0.622950819672
160,1134.34482759,132.344827586,99.2548275862,0.741379310345
161,847.020408163,199.959183673,97.4024489796,0.551020408163
162,865.547945205,166.931506849,98.8669863014,0.849315068493
163,985.168674699,87.2289156627,99.995060241,0.66265060241
164,847.714285714,101.571428571,99.799047619,0.666666666667
168,982.0,42.380952381,99.9776190476,0.666666666667
171,801.875,82.4583333333,99.2208333333,0.916666666667
173,863.311688312,103.168831169,99.9932467532,0.753246753247
177,993.137931034,80.5517241379,99.8920689655,0.896551724138
178,888.178571429,93.7142857143,99.975,0.714285714286
180,681.0,142.50877193,96.0934210526,0.719298245614
181,809.272727273,139.96969697,98.0203030303,0.606060606061
186,921.565217391,246.434782609,99.9269565217,0.826086956522
187,1215.74545455,108.363636364,99.5492727273,0.727272727273
189,805.4,45.2727272727,99.0727272727,0.8
195,678.363636364,49.2727272727,98.3395454545,0.954545454545
196,473.545454545,168.363636364,96.49,0.590909090909
197,1119.29411765,168.705882353,99.9092156863,0.588235294118
198,1021.53846154,160.338461538,96.2218461538,0.692307692308
199,1231.42553191,99.5531914894,99.8944680851,0.702127659574
203,760.3,191.516666667,97.4578333333,0.716666666667
205,971.52173913,90.9130434783,98.5986956522,0.913043478261
206,1367.08823529,240.441176471,98.2247058824,0.764705882353
209,846.555555556,159.0,93.45,0.777777777778
211,1047.44,94.7466666667,99.9188,0.72
212,968.837209302,102.581395349,99.8948837209,0.790697674419
213,1012.0,83.2424242424,99.8633333333,0.575757575758
214,1018.31818182,126.772727273,99.9727272727,0.909090909091
215,982.612903226,115.048387097,97.885483871,0.709677419355
217,753.85106383,81.829787234,97.8617021277,0.936170212766
220,912.392857143,90.9285714286,99.6653571429,0.714285714286
221,843.988372093,232.825581395,98.4601162791,0.616279069767
223,939.739130435,194.028985507,98.8147826087,0.739130434783
225,1054.47058824,63.0784313725,99.9403921569,0.745098039216
227,967.428571429,302.80952381,99.8371428571,0.666666666667
228,1140.92307692,100.615384615,99.9948717949,0.564102564103
231,884.552631579,76.0789473684,95.6789473684,0.947368421053
233,1070.05454545,45.8363636364,99.9592727273,0.690909090909
234,847.714285714,121.333333333,96.1161904762,0.666666666667
236,893.620689655,60.8965517241,99.9955172414,0.655172413793
237,891.756097561,136.195121951,96.6612195122,0.560975609756
238,873.132653061,99.8673469388,98.6859183673,0.836734693878
239,1123.37096774,118.774193548,99.0437096774,0.629032258065
240,930.615384615,107.769230769,99.7807692308,0.692307692308
241,1005.64150943,108.433962264,99.0932075472,0.811320754717
244,585.373831776,125.869158879,95.2525233645,0.85046728972
245,872.5,93.1,99.9926666667,0.5
246,979.74137931,104.051724138,99.5731034483,0.724137931034
249,830.893617021,134.191489362,97.4068085106,0.808510638298
253,1371.0862069,128.706896552,99.9948275862,0.741379310345
255,972.188679245,82.1509433962,97.5998113208,0.830188679245
256,748.166666667,79.1481481481,96.8137037037,0.814814814815
257,976.44,105.373333333,99.3446666667,0.653333333333
258,824.123287671,149.164383562,98.6554794521,0.753424657534
261,965.985074627,183.880597015,99.7979104478,0.776119402985
262,951.75,182.0625,99.633125,0.8125
264,1115.85714286,36.2857142857,97.8119047619,0.809523809524
265,822.78125,103.8125,97.7121875,0.71875
266,714.243902439,104.12195122,97.4202439024,0.731707317073
267,1035.0,106.119047619,99.3871428571,0.666666666667
271,1442.11538462,125.5,99.0213461538,0.807692307692
272,986.866666667,96.4333333333,99.8232222222,0.688888888889
273,944.6,127.166666667,99.9746666667,0.633333333333
274,1069.85714286,176.349206349,98.4947619048,0.809523809524
280,1154.75,121.071428571,99.7564285714,0.75
281,1063.63414634,170.487804878,96.3351219512,0.731707317073
284,986.352941176,99.5294117647,99.4805882353,0.735294117647
285,914.91011236,52.4269662921,99.6243820225,0.685393258427
287,1115.77777778,92.9259259259,99.3122222222,0.740740740741
289,1097.67164179,158.552238806,99.5141791045,0.65671641791
291,925.777777778,107.444444444,98.7748148148,0.876543209877
294,967.544303797,107.594936709,99.4140506329,0.645569620253
295,779.877358491,44.4528301887,98.8318867925,0.849056603774
296,912.142857143,114.142857143,98.2855952381,0.571428571429
297,1073.28125,106.671875,98.02015625,0.75
299,840.066666667,184.377777778,98.406,0.733333333333
303,1087.21311475,101.901639344,98.8352459016,0.72131147541
304,1038.66666667,63.3888888889,99.6046296296,0.814814814815
305,719.348837209,60.3953488372,97.8318604651,0.720930232558
307,840.344827586,109.402298851,99.7874712644,0.850574712644
309,926.3,86.0428571429,99.0101428571,0.728571428571
312,954.0625,141.125,97.3704166667,0.791666666667
313,760.0625,129.8125,97.01375,0.71875
314,926.814814815,175.604938272,98.0497530864,0.728395061728
317,761.235294118,131.843137255,98.0301960784,0.823529411765
318,962.833333333,87.8666666667,99.7015555556,0.722222222222
320,662.942857143,58.3142857143,99.104,0.857142857143
321,1009.90625,137.3125,99.6140625,0.84375
322,876.981132075,159.018867925,99.2683018868,0.509433962264
323,971.617647059,104.470588235,97.9976470588,0.617647058824
328,1046.0,93.6086956522,99.997826087,0.565217391304
329,1043.61643836,127.712328767,98.591369863,0.739726027397
331,937.153846154,116.128205128,99.6148717949,0.641025641026
333,838.328358209,63.0895522388,99.8288059701,0.701492537313
334,1105.29787234,135.85106383,99.430212766,0.702127659574
341,1003.14285714,155.0,99.9918367347,0.69387755102
344,1073.6,161.422222222,98.5046666667,0.644444444444
345,810.767857143,203.714285714,99.7967857143,0.732142857143
351,712.46875,114.197916667,98.8527083333,0.729166666667
352,781.833333333,140.166666667,97.7305555556,0.75
353,778.181818182,125.227272727,99.2831818182,0.409090909091
354,820.921052632,155.842105263,97.1276315789,0.657894736842
356,922.522727273,200.863636364,98.0393181818,0.863636363636
360,963.925925926,67.2098765432,99.3520987654,0.679012345679
364,945.769230769,136.384615385,98.7953846154,0.666666666667
368,902.0,101.5625,99.7783333333,0.635416666667
369,915.591836735,104.265306122,99.7995918367,0.775510204082
372,895.945454545,87.4909090909,98.2718181818,0.690909090909
375,554.9,137.0,94.7823333333,0.666666666667
377,1123.28947368,187.947368421,99.9923684211,0.684210526316
378,923.75,57.0,98.7647727273,0.613636363636
380,923.0,76.4583333333,98.5466666667,0.625
383,1000.88888889,136.0,99.9985185185,0.888888888889
384,537.384615385,180.717948718,94.4771794872,0.641025641026
386,1073.71428571,105.444444444,99.7023809524,0.84126984127
388,1072.65384615,166.942307692,99.9942307692,0.730769230769
389,1098.575,112.95,98.32375,0.725
390,1079.18518519,124.87654321,98.912345679,0.728395061728
393,875.586206897,106.356321839,99.086091954,0.781609195402
394,988.108108108,99.2162162162,99.9962162162,0.756756756757
397,612.25,137.083333333,97.1033333333,1.0
398,1120.48275862,63.6896551724,99.7331034483,0.620689655172
399,652.553191489,82.1489361702,97.2776595745,0.787234042553
400,572.718309859,117.830985915,89.6938028169,0.577464788732
403,840.542857143,57.1428571429,98.5362857143,0.828571428571
404,1025.34090909,104.772727273,99.9595454545,0.704545454545
405,908.36,75.28,98.272,0.72
406,949.637931034,131.672413793,99.8056896552,0.603448275862
408,730.693877551,110.775510204,96.506122449,0.836734693878
410,828.423728814,137.593220339,97.9198305085,0.71186440678
411,1120.76,109.24,98.0024,0.76
412,847.625,139.428571429,99.8882142857,0.678571428571
414,973.262295082,65.7540983607,99.9903278689,0.704918032787
417,778.91509434,118.066037736,98.8503773585,0.594339622642
418,1088.375,49.0,99.4508333333,0.833333333333
420,1052.0,86.9166666667,99.9945833333,0.666666666667
421,1019.9,156.6,96.38825,0.825
422,912.964285714,182.154761905,93.3148809524,0.666666666667
423,1209.04651163,147.534883721,98.8730232558,0.674418604651
424,1026.60465116,100.651162791,98.6251162791,0.627906976744
425,1210.84745763,124.881355932,97.7755932203,0.796610169492
426,980.38372093,111.593023256,98.5546511628,0.616279069767
428,718.863636364,122.560606061,99.4468181818,0.742424242424
429,952.345454545,126.854545455,99.0410909091,0.8
431,1070.52941176,128.441176471,99.7317647059,0.617647058824
432,858.056818182,66.1704545455,98.6348863636,0.863636363636
437,934.0,263.242424242,96.7903030303,0.757575757576
438,1024.96296296,100.691358025,99.1887654321,0.876543209877
442,817.85,13.325,98.842,0.75
446,755.46875,101.5625,93.7871875,0.75
448,717.569230769,165.876923077,99.0407692308,0.784615384615
451,826.25,164.361111111,98.8598611111,0.680555555556
456,1111.26829268,82.3170731707,99.242195122,0.90243902439
457,931.571428571,142.194805195,99.2742857143,0.792207792208
458,943.482758621,64.4137931034,99.1079310345,0.844827586207
461,1015.56626506,107.301204819,98.9998795181,0.722891566265
463,1268.96774194,330.322580645,96.2977419355,0.677419354839
468,1003.73134328,217.014925373,98.7976119403,0.686567164179
469,989.72972973,138.513513514,99.1408108108,0.891891891892
471,982.666666667,65.7777777778,95.1355555556,0.694444444444
472,1044.8,110.6,98.5665714286,0.542857142857
476,891.305882353,74.0352941176,99.8792941176,0.835294117647
477,851.413793103,118.620689655,98.5781034483,0.603448275862
479,903.465116279,103.465116279,99.4490697674,0.860465116279
485,1208.81818182,79.9090909091,98.7336363636,0.636363636364
486,1030.53521127,190.042253521,98.333943662,0.661971830986
488,939.434782609,105.717391304,97.9575,0.760869565217
490,928.03125,62.8958333333,99.2058333333,0.739583333333
491,1096.95238095,92.1111111111,99.5003174603,0.714285714286
494,940.790697674,93.488372093,99.7127906977,0.558139534884
495,1206.05882353,128.68627451,99.8733333333,0.725490196078
496,1078.05714286,127.528571429,97.9441428571,0.728571428571
498,862.2125,92.475,98.50125,0.8375
499,882.0,43.5833333333,99.3794444444,0.791666666667
500,938.253012048,115.385542169,97.5403614458,0.674698795181
502,872.140625,83.96875,99.978125,0.484375
503,1025.52941176,160.132352941,98.72,0.617647058824
504,951.8125,107.0,99.2954166667,0.791666666667
506,947.818181818,65.5,98.495,0.772727272727
507,683.222222222,191.259259259,92.6307407407,0.740740740741
509,914.133333333,68.4888888889,99.8037777778,0.933333333333
510,874.386363636,133.318181818,99.4520454545,0.704545454545
511,972.903846154,54.1730769231,98.4336538462,0.923076923077
512,1112.09375,124.0,98.421875,0.6875
513,873.578947368,128.368421053,98.5115789474,0.684210526316
514,945.08,103.48,98.4156,0.8
515,809.388888889,91.3148148148,95.2548148148,0.814814814815
517,1063.1147541,87.7049180328,99.8827868852,0.606557377049
518,886.875,173.277777778,97.6788888889,0.638888888889
521,1037.05555556,109.037037037,99.6996296296,0.833333333333
522,1189.52,199.72,99.9944,0.48
